Time,F_Scale,Location,County,State,Lat,Lon,Comments
1223,UNK,2 N Mcalester,Pittsburg,OK,34.96,-95.77,This tornado moved across the northwest side of McAlester... damaging the roofs of homes... uprooting trees... and snapping power poles. The damage survey was conducted (TSA)
1716,UNK,2 ESE Ravenna,Buffalo,NE,41.02,-98.87,This tornado touched down at 1216 PM CDT 2 miles east southeast of Ravenna... and lifted at 1231 PM CDT 3 miles north of Ravenna. The rating was EF1... with an estimate (GID)
1723,UNK,6 SSW Gholson,McLennan,TX,31.63,-97.26,A brief EF-0 tornado occurred along Wisdom Ct west of Waco. Fences were damaged and large tree limbs were broken. Maximum estimated winds were 80 mph. (FWD)
1726,UNK,6 S Gholson,McLennan,TX,31.63,-97.25,A second tornado from the same supercell occurred west of Waco damaging neighborhoods on either side of Wortham Bend Road near China Spring Rd. Damage in these neighbor (FWD)
1726,UNK,5 S Gholson,McLennan,TX,31.64,-97.25,Tornado pictures and damage reports from the China Springs area. Time estimated. (FWD)
1728,UNK,2 NNE Ravenna,Sherman,NE,41.06,-98.9,Location approximate. May be adjusted. Estimated on the ground for 4 to 5 minutes. Video confirmed. (GID)
1732,UNK,2 S Rockville,Sherman,NE,41.1,-98.83,This tornado touched down at 1232 PM CDT 2 miles south of Rockville... and lifted at 1248 PM CDT 4 miles north northeast of Rockville. The rating was EF1... with an est (GID)
1738,UNK,Rockville,Sherman,NE,41.11,-98.82,Tornado confirmed with some damage report. Will update pending damage survey. (GID)
1748,UNK,3 SSE West,McLennan,TX,31.76,-97.07,A brief... EF-0 tornado damaged trees west of Heritage Pkwy and south of Easy Rd northwest of Tours. Maximum estimated winds were 75 mph. (FWD)
1748,UNK,3 SE West,McLennan,TX,31.78,-97.05,Another tornado developed north of Tours... just west of Berger Road. This tornado initially damaged trees and a shed... but strengthened as it crossed Czech Hall Road. (FWD)
1752,UNK,3 SSW Farwell,Howard,NE,41.18,-98.65,This tornado touched down at 1252 PM CDT 3 miles SSW of Farwell... and lifted at 1258 PM CDT just outside the south side of Farwell. The rating was EF0... with an estim (GID)
1753,UNK,4 E West,McLennan,TX,31.8,-97.02,Tornado pictures and reports from north of Tours to Penelope. (FWD)
1758,UNK,1 SSE Farwell,Howard,NE,41.2,-98.62,This tornado touched down at 1258 PM CDT 1 mile south southeast of Farwell... and lifted at 121 PM CDT 3 miles north of Elba. This was the strongest tornado of the day (GID)
1758,UNK,1 S Farwell,Howard,NE,41.21,-98.63,Reported by fireman. Moving north/northeast at the time. (GID)
1806,UNK,3 SW Penelope,Hill,TX,31.83,-96.97,The same supercell produced another brief... EF-1 tornado... based on eye witness accounts... on either side of FM 339 southwest of Penelope. The tornado formed in the (FWD)
1814,UNK,1 NNW Elba,Howard,NE,41.3,-98.58,Emergency management reported power poles down near Highway 11 and Odell Road. (GID)
1814,UNK,2 NNW Elba,Howard,NE,41.31,-98.58,Several reports of confirmed tornado west and north of Elba. Time and location approximate pending damage survey. (GID)
1830,UNK,6 ENE Malone,Navarro,TX,31.95,-96.8,A tornado formed just northwest of Navarro Mills Lake... just east of the Navarro/Hill County line. Damage near this initiation point was confined to split tree trunks (FWD)
1832,UNK,5 NE Elba,Howard,NE,41.34,-98.51,This tornado touched down at 132 PM CDT 5 miles northeast of Elba... and lifted at 154 PM CDT 3 miles north of Wolbach. The rating was EF2... with an estimated peak win (GID)
1837,UNK,7 SSE Frost,Navarro,TX,32,-96.75,Tornado reported near FM 477 near Brushie Prairie in western Navarro Co. (FWD)
1848,UNK,2 SW Barry,Navarro,TX,32.08,-96.67,A tornado formed approximately 2 miles southwest of Barry in open country... based on storm spotter video and eyewitness reports. This tornado moved north and northeast (FWD)
1849,UNK,1 W Abbott,Hill,TX,31.88,-97.09,An EF-1 tornado occurred near Abbott... first developing on the west side of I-35W and CR 2341 where trees were damaged and uprooted. A semi-tractor trailer was rolled (FWD)
1900,UNK,4 WNW Dwight,Butler,NE,41.1,-97.1,Center pivot overturned... tree and outbuilding damage... road signs torn down. Delayed report. (OAX)
1904,UNK,6 SSW Primrose,Boone,NE,41.54,-98.29,A EF-2 tornado started in Greeley County and crossed into Boone County south of Primrose along Highway 56. It travelled north-northeast over 27.5 miles... doing its mos (OAX)
1919,UNK,3 WSW Rice,Navarro,TX,32.23,-96.55,A citizen captured a video of a brief tornado which formed west of Rice... Texas. The tornado transited mainly bottomland/wetland areas of Cummins Creek... resulting in (FWD)
